DEBUG: | 0x18 - test 4, 4 | tick : 0x49 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
DEBUG: | 0x19 - be 29 | tick : 0x4a -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x4b -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x4c -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x4d -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x9 | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x4e -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
DEBUG: | 0x1c - jmp 23 | tick : 0x4f -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x50 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x9 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x51 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x20 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x52 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
